,,Tmin,Rainfall,RH,Solar,Wind,Tmax,Discharge
1139,10,6.1,0,0.32,19.25,3.82,17.8,96.4
1140,11,5,0,0.34,19.41,4.19,20,96.4
1141,12,3.3,0,0.31,19.27,4.53,12.8,96.4
1142,13,2.2,0,0.73,4.6,4.81,17.8,96.4
1143,14,4.4,20,0.89,1.84,2.9,16.7,96.4
1144,15,5,0,0.55,16.85,4.61,17.2,96.4
1145,16,6.7,8,0.35,19.59,3.96,17.2,96.6
1146,17,4.4,0,0.28,20.61,4.2,16.7,99.2
1147,18,5.6,0.5,0.38,20.48,3.27,22.2,99.2
1148,19,5,0,0.53,18.46,2.87,21.7,99.2
1149,20,6.1,0,0.31,20.69,4.02,24.4,99.2
1150,21,5.6,23,0.28,21.37,4.8,18.9,99.2
1151,22,2.2,35,0.22,21.47,3.82,8.3,101.2
1152,23,2.2,0,0.27,20.92,3.79,16.7,104.3
1153,24,3.3,0,0.48,12.77,4.03,17.8,98.9
1154,25,6.7,0,0.44,18.91,3.57,23.3,96.6
1155,26,7.8,0,0.19,22.33,4.5,24.4,99.2
1156,27,10,0.5,0.15,22.55,4.39,23.9,99.2
1157,28,5.6,1,0.2,22.37,4.18,20,99.2
1158,29,,,,,,,
1159,1,6.1,0,0.24,22.48,4.42,22.8,98.9
1160,2,6.7,0,0.19,22.57,3.6,24.4,96.4
1161,3,10,0,0.3,22.58,3.72,26.7,96.4
1162,4,12.2,1,0.43,21.12,3.08,24.4,96.4
1163,5,11.1,0.2,0.56,16.85,3.47,23.3,96.6
1164,6,8.9,0,0.52,20.3,2.9,26.7,99.2
1165,7,8.9,0,0.51,19.71,2.64,27.2,99.2
1166,8,7.8,0,0.38,21.8,3.87,24.4,102
1167,9,8.9,0,0.42,17.76,3.51,27.2,102
1168,10,8.3,0,0.38,22.65,4.31,30.6,102
1169,11,10,0,0.36,23.54,3.64,30.6,102.3
1170,12,11.1,0,0.4,23,3.91,28.3,104.9
1171,13,11.7,0,0.34,23.32,3.76,27.8,105.1
1172,14,14.4,0,0.37,24.02,3.9,30.6,107.7
1173,15,11.7,2.8,0.25,24.74,4.19,20,110.5
1174,16,12.2,0,0.24,24.96,3.54,25.6,113.9
1175,17,11.1,0,0.35,24.26,3.45,29.4,122.1
1176,18,11.7,0,0.28,24.77,3.6,31.1,124.1
1177,19,13.3,0,0.3,25.2,3.73,31.7,119.6
1178,20,13.9,0.6,0.24,25.19,3.86,27.2,124.7
1179,21,12.2,1.2,0.31,22.89,3.38,24.4,124.7
1180,22,11.1,0,0.33,24.18,3.96,28.9,124.1
1181,23,11.1,0,0.3,23.67,3.84,29.4,119.3
1182,24,11.7,0,0.48,21.26,2.67,31.1,122.1
1183,25,13.3,0.5,0.36,25.16,3.03,29.4,124.7
1184,26,11.1,0.6,0.34,19.63,4.42,26.7,124.7
1185,27,10.6,0,0.36,22.79,4.36,29.4,124.4
1186,28,11.1,0,0.87,3.21,3.46,30,122.4
1187,29,13.3,0,0.73,11.85,3.65,28.9,127.5
1188,30,13.3,0,0.72,9.23,3.67,31.1,121.6
1189,31,16.7,0.5,0.42,26.3,4.56,30.6,121
1190,1,10,16,0.34,27.54,4.93,22.8,125.3
1191,2,11.1,8.8,0.31,26.9,4.53,26.7,130.1
1192,3,11.1,0,0.37,24.99,4.52,27.8,127.5
1193,4,14.4,0.5,0.3,27.98,4.55,27.2,127.2
1194,5,11.1,26,0.31,28.05,4.64,14.4,125.3
1195,6,12.2,2.5,0.45,24.22,3.48,17.8,143.4
1196,7,8.9,5,0.69,8.29,3.36,18.9,152.5
1197,8,7.8,0,0.47,27.56,2.84,22.8,140.8
1198,9,10,0,0.43,27.91,2.83,28.3,132.6
1199,10,11.1,0,0.4,28.24,3.45,30,127.5
1200,11,11.1,0,0.35,27.49,4.12,27.8,127.2
1201,12,10,0,0.35,28.2,3.42,29.4,124.7
1202,13,11.7,0,0.4,19.26,3.04,28.3,124.7
1203,14,15.6,0,0.33,27.62,3.01,31.1,124.7
1204,15,10,6,0.44,24.21,3.07,16.7,125
1205,16,11.7,0.8,0.33,28.67,3.58,27.2,127.2
1206,17,10,7.5,0.22,29.61,4.89,26.7,124.7
1207,18,10,0,0.23,29.43,3.99,27.8,124.7
1208,19,14.4,0,0.24,28.62,3.84,27.8,124.7
1209,20,16.7,0,0.28,21.14,4.82,28.9,125
1210,21,11.1,0.8,0.23,29.41,3.98,25.6,127.5
1211,22,12.2,0.5,0.34,27.89,3.35,26.7,130.6
1212,23,11.1,2.5,0.42,21.83,3.08,18.9,133.2
1213,24,10,2.2,0.35,25.66,4.13,22.2,133.2
1214,25,11.1,0,0.25,29.57,4.23,28.9,133.2
1215,26,13.3,0,0.25,29.61,4.02,31.1,132.9
1216,27,13.3,0,0.47,29.02,3.24,30,130.6
1217,28,13.3,0,0.58,28.95,4.01,32.8,133.5
1218,29,16.1,0,0.53,28.32,3.21,33.9,138
1219,30,15.6,4.4,0.57,27.98,3.32,32.2,159.3
1220,1,13.3,3.8,0.5,29.72,3.42,24.4,176.3
1221,2,12.2,14,0.49,29.85,3.63,22.2,179.7
1222,3,13.3,0,0.52,25.52,4.03,33.9,166.1
1223,4,17.8,0,0.43,30.64,3.88,35,186.5
1224,5,15.6,0.8,0.47,26.15,3.44,30,227.8
1225,6,14.4,3,0.5,28.85,2.92,28.9,236.9
1226,7,13.9,0.2,0.51,22.59,3.55,32.2,239.7
1227,8,17.2,0,0.44,28.56,2.91,35,254.5
1228,9,13.3,8.6,0.43,29.7,2.98,33.9,303.2
1229,10,15.6,0.2,0.37,29.65,4.15,30,311
1230,11,11.1,1.8,0.34,29.58,4.15,22.8,268.5
1231,12,13.3,0,0.33,30.64,4.1,31.1,236.3
1232,13,17.8,0,0.31,31.01,4.08,32.8,222.2
1233,14,15.6,1,0.34,30.34,3.79,26.7,232.9
1234,15,16.7,0,0.33,30.32,3.71,32.2,237.5
1235,16,14.4,16,0.28,31.1,4.19,33.9,234.6
1236,17,15.6,0,0.25,30.54,3.44,31.1,258.4
1237,18,17.2,1.5,0.18,32.02,4.41,33.3,289.8
1238,19,17.8,0,0.17,32.19,3.99,34.4,317.4
1239,20,17.8,0,0.23,31.62,4.16,34.4,393.2
1240,21,21.1,0,0.19,31.95,4.26,35.6,451.3
1241,22,24.4,0,0.19,31.62,4.05,34.4,520
1242,23,18.9,0,0.2,30.95,3.97,33.9,542
1243,24,18.9,4,0.21,31.16,3.71,33.3,597.9
1244,25,16.7,7,0.31,31.66,4.32,31.1,629.1
1245,26,17.8,0,0.47,31.43,4.72,36.7,520
1246,27,18.9,0,0.42,31.47,4.34,36.1,459.1
1247,28,20,0,0.39,31.64,4.37,36.7,537
1248,29,18.9,0,0.4,31.31,4.96,36.7,615.1
1249,30,20,0,0.33,30.54,4.52,38.9,639.7
1250,31,21.1,0,0.31,31.85,4.27,39.4,678.7
1251,1,18.9,0,0.27,31.61,3.57,34.4,689.3
1252,2,21.1,0,0.3,31.35,3.48,37.8,668.8
1253,3,20,0,0.32,25.67,3.64,38.9,658.2
1254,4,21.1,0,0.38,20.12,3.48,36.7,676.6
1255,5,21.7,0,0.44,21.54,3.16,32.2,664.5
1256,6,20,0,0.33,31.23,3.76,33.3,618.5
1257,7,22.2,0,0.24,32.22,3.79,37.8,608.6
1258,8,24.4,0,0.17,32.49,3.99,38.9,699.1
1259,9,20,4.4,0.18,32.41,4.03,39.4,847.9
1260,10,18.9,2,0.24,32.41,4.29,30,891
1261,11,17.8,0.5,0.27,31.85,3.78,36.1,807.1
1262,12,20,0,0.26,31.91,3.95,28.9,717
1263,13,18.9,0,0.27,31.65,3.87,29.4,585.9
1264,14,20,0,0.3,31.5,3.43,35.6,467.6
1265,15,21.1,0,0.31,31.78,3.81,37.2,386.1
1266,16,22.2,0,0.47,31.44,3.26,37.8,444.9
1267,17,23.3,0,0.63,30.17,2.37,38.9,526.4
1268,18,22.8,0,0.62,30.22,2.42,39.4,628.4
1269,19,23.3,0,0.71,21.28,2.46,40,734.8
1270,20,26.7,0,0.7,25.19,2.58,40.6,908
1271,21,26.7,0,0.66,28.07,2.63,37.8,1067.8
1272,22,22.2,6,0.74,30.22,2.17,36.7,1218.6
1273,23,22.8,0,0.87,19.49,2.51,35.6,1343.3
1274,24,23.3,0.2,0.85,13.27,1.63,36.7,1449.8
1275,25,24.4,1.2,0.7,25.57,2.54,36.1,1420.9
1276,26,20,14.4,0.73,23.34,2.27,33.3,1160.5
1277,27,21.1,0.9,0.77,15.45,1.8,29.4,1097.3
1278,28,22.2,5.8,0.79,19.55,2.07,34.4,977.1
1279,29,22.8,0,0.86,10.2,1.93,35,1014.5
1280,30,21.1,10.5,0.81,24.06,2.29,35.6,1059.9
1281,1,22.2,0.2,0.82,11.81,1.23,34.4,1259.7
1282,2,24.4,0,0.81,26.74,2.15,35.6,1336.2
1283,3,21.7,3.8,0.86,16.51,2,33.9,1357.4
1284,4,21.7,10.4,0.71,23.57,2.25,29.4,1348.9
1285,5,21.1,1.5,0.81,12.95,1.68,33.3,1180.3
1286,6,22.2,5.4,0.81,20.78,1.65,32.2,1146.3
1287,7,23.3,1,0.73,26.75,2.67,30,1183.1
1288,8,24.4,3.2,0.8,13.48,1.89,33.3,1324.8
1289,9,17.8,0.2,0.75,25.7,2.18,32.2,1280.9
1290,10,24.4,1.3,0.88,15.85,1.79,34.4,1234.1
1291,11,25.6,1,0.88,8.55,1.5,33.3,1106.6
1292,12,21.1,19.2,0.82,14.96,2.17,36.7,1059.9
1293,13,23.3,0,0.89,2.58,2.1,28.9,1087.1
1294,14,22.2,1.4,0.88,8.44,1.27,35.6,1004.3
1295,15,23.3,0,0.92,7.41,1.32,37.8,1010
1296,16,21.1,0.8,0.89,6.38,1.33,35.6,1000.9
1297,17,22.2,0,0.78,24.61,1.72,35,974.8
1298,18,21.1,6,0.85,24.6,1.83,26.7,1006.6
1299,19,23.3,1,0.88,27.04,1.66,36.1,1044
1300,20,21.1,38.4,0.9,24.25,1.74,33.3,1299.3
1301,21,20,41.2,0.93,13.69,1.46,23.3,1611.3
1302,22,22.2,4.5,0.91,20.02,1.5,30,1565.4
1303,23,23.3,11.6,0.94,13.41,1.96,31.1,1431.1
1304,24,22.2,4,0.86,14.01,0.9,28.9,1439.6
1305,25,22.2,0,0.85,19.77,1.58,31.1,1370.2
1306,26,23.3,0,0.9,22.2,1.44,33.3,1190.2
1307,27,22.2,2.5,0.92,20.7,1.6,34.4,1037.2
1308,28,22.2,8.2,0.91,19.45,1.79,31.1,1028.1
1309,29,23.3,8.6,0.93,20.66,1.33,31.7,1093.9
1310,30,23.9,5.6,0.9,20.3,1.44,33.3,1225.6
1311,31,20,13.2,0.92,12.7,1.41,26.7,1409
1312,1,21.1,18,0.94,8.95,1.13,28.9,1463.4
1313,2,22.2,0,0.9,20.36,1.62,31.1,1750.8
1314,3,22.8,0,0.86,13.38,2.22,35.6,1451.5
1315,4,21.1,0,0.78,25.98,2.45,32.2,1302.2
1316,5,22.8,1.2,0.81,26.36,2.09,30,1149.1
1317,6,22.2,0,0.9,21.79,1.88,34.4,1099.5
1318,7,23.3,3,0.93,12.46,1.16,35,1050.8
1319,8,23.3,0.4,0.88,18.3,1.91,30,1164.7
1320,9,23.3,0,0.78,21.78,2.07,33.3,1113.7
1321,10,21.1,31,0.74,24.28,2.11,32.2,1096.1
1322,11,20,6,0.77,25.85,1.59,24.4,1295.1
1323,12,21.1,40,0.82,24,1.85,33.9,1071.2
1324,13,21.1,2.4,0.94,11.4,1.21,30,963.5
1325,14,23.3,0,0.94,13.13,1.49,33.3,876.5
1326,15,22.8,2,0.94,18.53,1.31,30,889.8
1327,16,22.2,2.4,0.93,8.88,2.01,28.9,931.8
1328,17,21.1,10.8,0.91,10.1,1.74,24.4,997.5
1329,18,20,0,0.91,11.92,0.91,28.9,873.4
1330,19,20,24,0.88,13.82,1.7,33.3,742.5
1331,20,22.2,0,0.87,24.06,1.82,34.4,735.7
1332,21,24.4,0,0.89,14.9,1.34,33.9,733.1
1333,22,23.3,0,0.87,23.19,1.84,34.4,751.8
1334,23,21.7,8,0.82,16.69,2.79,26.7,793.3
1335,24,21.1,14.4,0.84,20.92,1.7,25.6,918.2
1336,25,20,3.6,0.84,20.28,2.18,28.9,853
1337,26,21.1,12,0.84,23.51,1.67,31.1,848.9
1338,27,21.7,44,0.9,11.99,1.43,31.7,908
1339,28,22.2,0,0.89,7.71,1.78,31.1,1059.9
1340,29,22.8,0,0.75,19.98,2.37,32.2,1085.9
1341,30,21.1,17,0.76,17.81,2.51,33.9,999.8
1342,31,22.2,0,0.78,5.22,2.25,32.2,942
1343,1,20,9,0.72,23.06,2.17,30,866.3
1344,2,21.1,13.8,0.8,16.86,2.47,30.6,853
1345,3,20,0,0.84,2.4,2.27,33.9,818.3
1346,4,22.2,0,0.74,23.97,2.27,32.2,786.7
1347,5,21.1,8,0.64,20.5,2.54,31.1,806.1
1348,6,21.7,0,0.56,24.57,2.75,30,864.2
1349,7,22.2,0,0.51,25.22,2.78,32.2,739.1
1350,8,21.1,0,0.53,24.71,3.94,29.4,683
1351,9,20,14,0.59,24.53,3.69,31.1,614.9
1352,10,19.4,0,0.55,24.14,3.9,32.2,582.4
1353,11,18.9,6.4,0.49,24.13,3.92,31.1,554
1354,12,20,0,0.61,23.23,3.22,30,558.3
1355,13,17.8,18,0.58,24.23,2.93,28.9,544.8
1356,14,16.7,2.4,0.51,23.84,3.79,29.4,504.4
1357,15,16.7,0,0.42,23.83,3.62,32.2,453.4
1358,16,18.9,0,0.38,23.83,4.16,31.1,432.2
1359,17,16.7,0,0.32,23.9,4.04,30.6,410.2
1360,18,17.8,0,0.32,23.89,4.22,32.2,386.8
1361,19,17.2,0,0.33,23.72,4.47,31.7,338.6
1362,20,16.7,0,0.23,23.89,4.57,30,330.9
1363,21,17.8,0,0.28,23.59,3.9,30.6,305.3
1364,22,16.7,8,0.19,23.54,3.92,29.4,273.5
1365,23,16.1,0,0.26,22.94,3.97,29.4,258.4
1366,24,17.8,0,0.26,22.78,3.84,31.1,249.4
1367,25,17.8,0,0.31,22.64,3.65,31.7,251.1
1368,26,15.6,0,0.31,22.16,4.05,32.2,249.4
1369,27,14.4,0,0.33,21.94,3.76,30,249.4
1370,28,11.7,0,0.43,21.45,3.11,32.8,244.3
1371,29,16.7,0,0.3,21.66,3.87,31.1,243.1
1372,30,15.6,0,0.3,21.72,3.9,31.1,238
1373,1,16.1,0,0.29,21.88,3.97,32.2,238
1374,2,15.6,0,0.29,21.31,4.02,31.7,237.5
1375,3,15,0,0.23,21.3,4.35,31.1,232.4
1376,4,14.4,0,0.32,20.37,3.97,31.7,232.4
1377,5,13.9,0,0.32,21.07,3.87,32.2,231.8
1378,6,14.4,0,0.41,19.45,3.23,31.1,226.7
1379,7,14.4,0,0.37,19.05,3.42,30,226.1
1380,8,13.3,0,0.16,20.73,3.83,30,221
1381,9,14.4,0,0.21,20.31,4.11,28.9,221
1382,10,13.9,0,0.23,20.54,4.27,31.7,220.5
1383,11,13.3,0,0.34,20.31,3.96,31.1,215.4
1384,12,14.4,0,0.28,20.12,3.97,30,214.8
1385,13,13.3,0,0.31,19.89,4.02,31.1,209.7
1386,14,12.2,1.5,0.35,19.55,3.56,26.7,209.1
1387,15,10,2,0.37,19.2,3.97,21.1,203.5
1388,16,10,0,0.31,19.27,3.77,26.7,197.8
1389,17,12.2,0,0.32,18.83,3.28,27.8,192.1
1390,18,13.3,0,0.3,18.76,3.11,28.9,186.5
1391,19,12.2,0,0.32,18.51,3.79,30,180.8
1392,20,13.3,0,0.28,18.24,3.87,28.9,175.7
1393,21,12.2,0,0.29,18.4,3.55,30,175.7
1394,22,15.6,0,0.25,18.49,3.55,27.8,175.1
1395,23,13.3,0,0.16,18.67,4.08,30,170
1396,24,13.3,0,0.2,18.55,3.83,27.8,169.5
1397,25,12.2,0,0.2,18.28,3.98,26.7,164.4
1398,26,16.7,0,0.22,17.82,3.92,27.2,164.4
1399,27,10,0,0.31,15.3,3.71,25.6,163.8
1400,28,13.3,0,0.3,17.48,4.23,27.8,158.7
1401,29,10,0,0.3,17.5,4.28,27.2,158.1
1402,30,11.1,0,0.38,17.23,4.39,26.7,153
1403,31,8.9,0,0.4,17.09,4.19,28.3,153
1404,1,8.3,0,0.35,16.97,4.21,26.7,153
1405,2,10,0,0.33,17.19,4.09,27.8,153
1406,3,9.4,0,0.34,16.69,3.72,27.2,153
1407,4,12.2,0,0.31,16.49,3.46,25.6,152.7
1408,5,10,0,0.36,16.35,3.4,27.2,150.2
1409,6,10.6,0,0.35,16.35,3.89,26.7,150.2
1410,7,9.4,0,0.44,16.16,4.33,26.1,150.2
1411,8,8.9,0,0.68,16.34,3.89,28.3,149.9
1412,9,10,0,0.7,15.68,3.76,26.7,147.4
1413,10,11.1,0,0.62,16.03,4.36,27.8,147.1
1414,11,11.1,0,0.65,15.96,4.17,28.9,144.5
1415,12,9.4,0,0.57,15.71,3.1,25.6,144.5
1416,13,7.8,0,0.62,14.67,3.7,27.2,144.5
1417,14,8.9,0,0.62,15.31,4.26,24.4,141.7
1418,15,7.8,0,0.56,15.37,4.31,25,141.7
1419,16,7.8,0,0.53,14.86,4.48,24.4,141.7
1420,17,7.2,0,0.45,15.17,3.47,23.9,141.4
1421,18,8.3,0,0.48,15.01,3.11,23.3,138.9
1422,19,7.8,0,0.47,14.82,3.1,25,138.9
1423,20,7.2,0,0.38,15.04,3.78,24.4,138.6
1424,21,6.7,0,0.39,14.98,3.93,23.9,136
1425,22,7.8,0,0.4,14.86,3.89,23.3,136
1426,23,7.2,0,0.4,14.84,3.57,23.9,135.7
1427,24,6.7,0,0.38,14.59,3.72,23.3,133.2
1428,25,6.1,0,0.34,14.62,3.42,22.8,133.2
1429,26,7.2,0,0.37,14.6,3.97,23.9,133.2
1430,27,7.8,0,0.34,14.73,4.11,23.3,133.2
1431,28,6.7,0,0.32,14.27,3.65,24.4,132.9
1432,29,7.2,0,0.26,12.16,3.3,22.8,130.4
1433,30,7.2,0,0.43,10.14,2.7,22.2,130.4
1434,1,7.8,0,0.55,9.01,3.14,22.8,130.4
1435,2,7.2,0,0.45,11.06,4.23,23.3,130.4
1436,3,6.7,0,0.37,14.38,3.9,21.7,130.1
1437,4,6.1,0,0.1,14.91,4.57,22.8,127.5
1438,5,5.6,0,0.13,14.6,3.49,21.7,127.5
1439,6,7.2,0,0.17,14.57,4.3,18.9,127.2
1440,7,8.9,0,0.18,12.07,3.05,18.3,124.7
1441,8,11.1,0,0.21,14.49,3.87,18.9,124.7
1442,9,10,0,0.14,14.59,3.66,20,124.7
1443,10,8.9,0,0.21,14.12,3.84,21.1,124.7
1444,11,8.9,0,0.23,14.22,3.66,20,124.7
1445,12,4.4,0,0.25,14.18,3.81,21.1,124.7
1446,13,3.3,0,0.28,14.24,3.77,19.4,124.7
1447,14,5,0,0.28,14.28,3.41,23.3,124.4
1448,15,3.3,0,0.39,13.05,3.05,18.9,121.9
1449,16,2.2,0,0.37,12.82,2.76,20,121.9
1450,17,2.8,0,0.81,1.67,2.34,19.4,121.9
1451,18,3.3,0,0.5,10.39,3.13,18.9,121.9
1452,19,2.2,0,0.49,8.74,2.57,17.8,121.9
1453,20,2.8,0,0.62,6.81,3.15,17.2,121.9
1454,21,3.3,0,0.76,1.62,4.51,18.9,121.9
1455,22,2.2,0,0.35,9.74,3.43,19.4,121.6
1456,23,7.8,0.2,0.22,14.36,4.15,20,119
1457,24,7.8,6.8,0.24,0.09,5.88,21.1,119
1458,25,5.6,32.8,0.2,14.67,3.93,10,119
1459,26,6.7,0,0.34,10.04,3.05,17.8,119
1460,27,8.9,0,0.4,11.57,3.26,15.6,119
1461,28,6.7,0,0.43,9.29,2.85,13.3,119
1462,29,6.7,0,0.43,12.65,3.28,12.8,119
1463,30,11.7,0,0.49,12.79,4.4,15.6,119
1464,31,3.3,0,0.42,14.42,4.77,17.8,119
1465,1,1.7,0,0.7,6.82,3.01,17.8,118.7
1466,2,1.1,0,0.71,9.34,4.31,17.2,116.2
1467,3,2.2,0,0.57,14.42,4.25,16.7,116.2
1468,4,2.2,0,0.53,13.71,3.83,13.3,116.2
1469,5,2.8,0,0.52,13.99,3.79,13.9,116.2
1470,6,3.3,0,0.48,13.88,4.1,17.2,115.9
1471,7,1.7,0,0.67,11.42,2.31,19.4,113.4
1472,8,1.1,0,0.86,4.55,2.48,21.1,113.4
1473,9,5.6,7.5,0.74,4.91,3.95,12.2,113.4
1474,10,4.4,1.5,0.5,14.94,4.26,10,113.4
1475,11,3.3,0,0.5,14.03,3.07,17.2,113.4
1476,12,1.7,0,0.55,6.87,2.72,17.8,113.4
1477,13,2.2,0,0.64,11.97,1.76,18.3,110.5
1478,14,2.2,0,0.33,15.86,3.74,13.3,110.5
1479,15,1.7,1,0.32,16.16,3.89,16.7,110.5
1480,16,4.4,2.5,0.25,15.99,3.18,10,110.5
1481,17,4.4,1,0.36,15.98,3.61,7.8,110.2
1482,18,2.2,0,0.23,16.35,3.97,13.3,107.7
1483,19,6.7,0,0.19,16.5,3.97,16.7,107.7
1484,20,3.3,0,0.38,13.27,3.04,10,107.7
1485,21,5.6,0,0.24,16.47,3.6,14.4,107.7
1486,22,2.2,0,0.18,16.94,3.95,15.6,107.7
1487,23,1.1,0,0.2,17.32,4.54,16.7,107.7
1488,24,2.2,0,0.18,17.31,4.22,16.7,107.7
1489,25,3.3,0,0.19,17.4,4.1,17.8,104.9
1490,26,2.2,0,0.23,16.63,3.36,18.9,104.9
1491,27,5.6,0,0.33,14.83,3.85,21.1,104.9
1492,28,5.6,0,0.36,16.99,3.06,20,104.9
1493,29,4.4,0,0.31,17.58,3.79,21.1,104.9
1494,30,4.4,0,0.35,17.01,3.84,22.2,104.9
1495,31,2.8,0,0.52,14.36,2.47,21.7,104.9
1496,1,2.8,0,0.39,17.19,3.51,21.7,104.9
1497,2,2.8,0,0.37,14.64,3.03,23.3,104.9
1498,3,4.4,0,0.59,8.13,2.81,20,104.9
1499,4,2.8,0,0.78,2.32,2.91,18.9,104.9
1500,5,4.4,0,0.77,4.28,2.42,17.8,104.9
1501,6,4.4,0,0.65,17.73,3.39,22.2,104.9
1502,7,2.8,0,0.89,0.94,2.47,20,102
1503,8,3.3,0,0.63,15.42,3.62,20.6,102
1504,9,6.7,0,0.59,18.98,4.02,25.6,102
1505,10,6.7,0,0.57,18.56,2.8,25,102
1506,11,10,0,0.58,16.69,3.31,17.8,102
1507,12,6.7,30,0.6,15.45,2.98,13.3,102.9
1508,13,7.2,12,0.45,18.99,3.84,11.1,110.2
1509,14,6.7,14,0.49,19.19,2.43,22.2,107.7
1510,15,3.3,34,0.78,7.76,1.85,13.3,107.7
1511,16,2.8,1.5,0.61,13.62,3.27,17.8,107.7
1512,17,3.3,0,0.52,20.38,4.07,18.9,107.7
1513,18,7.2,0,0.54,12.68,2.41,19.4,107.4
1514,19,4.4,5,0.58,19.1,2.91,18.3,105.1
1515,20,3.9,1.5,0.6,9.11,3.12,17.8,107.7
1516,21,5.6,0,0.42,20.6,4.24,20,107.7
1517,22,4.4,0,0.39,21.28,3.93,18.9,107.7
1518,23,5,7.5,0.45,20.12,3.02,13.3,108
1519,24,3.3,6,0.29,21.31,3.44,11.1,110.5
1520,25,2.2,0,0.38,21.32,3.87,18.3,110.5
1521,26,3.3,0,0.49,21.34,2.44,16.7,110.5
1522,27,3.9,0,0.45,20.78,3.92,19.4,110.5
1523,28,5,16.5,0.48,19.99,3.37,13.3,111.1
1524,29,,,,,,,
1525,1,5,0,0.37,22.11,3.93,18.9,116.2
1526,2,6.7,0,0.39,21.78,2.69,21.1,115.3
1527,3,6.1,0,0.5,18.67,2.25,19.4,107.7
1528,4,6.7,0,0.33,23.11,3.96,23.3,107.7
1529,5,6.1,0,0.35,22.86,4,23.9,107.4
1530,6,7.8,0,0.32,21.84,4.44,23.3,104.9
1531,7,6.7,0,0.29,22.12,4.1,21.1,104.9
1532,8,5.6,0,0.45,15.35,3.19,20.6,104.9
1533,9,6.1,0,0.44,23.16,2.99,22.2,104.6
1534,10,6.7,0,0.46,20.52,3.94,21.7,102
1535,11,7.8,0,0.49,23.66,3.7,18.9,102
1536,12,5.6,0,0.56,23.09,2.97,21.7,102
1537,13,6.1,0,0.46,23.86,4.18,22.2,102
1538,14,6.1,0,0.43,23.55,4.08,23.9,102
1539,15,7.2,0,0.55,21.86,3.31,25.6,102
1540,16,10,0,0.5,23.21,3.69,21.1,102
1541,17,10,0,0.42,22.02,3.73,22.8,102
1542,18,8.9,0,0.73,12.17,2.85,22.2,102
1543,19,14.4,0,0.72,6.57,3.09,26.7,102
1544,20,11.1,0,0.45,24.81,3.61,28.3,102
1545,21,12.2,0,0.66,22.39,2.31,29.4,102.3
1546,22,12.2,0,0.63,16.78,4.18,32.2,108
1547,23,13.3,0,0.49,19.87,3.47,28.9,112.8
1548,24,12.2,0,0.37,25.99,3.8,31.1,119.6
1549,25,13.9,0,0.32,26.26,4.1,28.3,127
1550,26,13.3,6,0.29,26.93,3.86,26.7,133.5
1551,27,8.9,11,0.37,26.47,3.73,14.4,136
1552,28,10,2,0.43,24.55,3.49,24.4,135.2
1553,29,11.1,17,0.35,24.09,4.37,22.2,127.2
1554,30,7.8,4,0.5,24.7,3.27,18.9,124.7
1555,31,6.7,2,0.5,26.31,3.88,21.1,130.1
1556,1,7.2,0,0.45,26.01,4.93,23.3,127.2
1557,2,8.9,0,0.48,24.4,3.98,24.4,124.4
1558,3,8.3,0,0.57,23.53,3.82,23.3,121.6
1559,4,7.2,0,0.61,8.81,4.01,27.2,119
1560,5,7.8,0,0.49,26.23,3.83,21.1,119
1561,6,11.1,0,0.5,27.29,4.27,25.6,118.7
1562,7,11.7,0,0.47,23.55,3.53,23.3,116.2
1563,8,10.6,0,0.61,9.31,4.98,30.6,116.2
1564,9,13.3,0,0.53,27.13,2.66,32.2,116.8
1565,10,16.7,19,0.62,18.39,3.19,30,122.7
1566,11,10,8,0.5,27.66,2.78,28.9,130.6
1567,12,11.7,0,0.41,27.57,3.1,22.8,133.5
1568,13,8.9,0,0.45,25.97,3.25,21.7,135.5
1569,14,12.2,0,0.49,27.43,3.66,28.3,130.6
1570,15,13.3,0,0.64,23.53,3.25,30,133.2
1571,16,14.4,1,0.57,27.4,3.04,22.8,132.9
1572,17,11.1,0,0.52,24.49,3.56,18.9,130.4
1573,18,12.2,2,0.45,27.5,3.83,23.3,130.4
1574,19,11.1,4.5,0.51,26.6,3.18,28.3,130.9
1575,20,14.4,0,0.39,28.03,3.81,28.9,136.3
1576,21,11.1,0,0.32,29.1,4.1,26.7,138.9
1577,22,12.2,0,0.25,29.06,3.94,29.4,139.4
1578,23,13.3,6.4,0.22,29.86,3.3,22.2,144.8
1579,24,11.1,1,0.21,30.16,3.32,21.1,147.6
1580,25,14.4,4.5,0.32,27.76,3.2,31.1,150.8
1581,26,15.6,0,0.25,29.83,3.19,30,159.3
1582,27,13.9,0,0.28,29.06,3.37,28.3,165.5
1583,28,13.3,0,0.32,25.99,3.32,31.1,176.8
1584,29,15.6,0,0.4,21.39,3.52,33.9,187.6
1585,30,14.4,0,0.32,23.31,3.66,35,193.3
1586,1,15.6,0,0.27,29.19,3.86,32.2,198.4
1587,2,13.3,0,0.32,25.67,3.79,30,197.2
1588,3,12.2,0,0.45,28.01,3.35,26.7,186.5
1589,4,13.3,0,0.49,29.54,4.21,31.1,179.7
1590,5,14.4,0,0.65,26.47,4.1,32.2,165.5
1591,6,15,0,0.58,28.45,4.51,33.3,178
1592,7,15.6,0,0.53,29.98,4.31,35,202.9
1593,8,17.8,0,0.47,30.12,4.73,36.1,241.4
1594,9,18.9,0,0.42,30.41,4.06,35.6,272.8
